quarter,fv_wtd_all_in_pct,fv_wtd_spread_pct,implied_base_pct,n_positions,fv_coverage_pct_of_debt_book
2018Q3,9.406,7.074,2.333,453,90.54
2018Q4,9.481,6.857,2.625,486,92.25
2019Q1,9.576,6.908,2.668,519,91.243
2019Q2,9.468,7.042,2.426,461,89.715
2019Q4,8.805,6.917,1.888,425,91.908
2020Q1,8.126,6.741,1.385,495,87.072
2020Q2,8.023,7.127,0.896,433,83.372
2020Q3,8.017,7.197,0.82,393,81.418
2020Q4,8.0,7.169,0.831,404,84.465
2021Q1,7.919,7.076,0.843,415,82.442
2021Q2,7.837,6.988,0.849,399,85.389
2021Q3,7.612,6.79,0.822,410,84.764
2021Q4,7.562,6.76,0.802,454,85.986
2022Q2,8.459,6.693,1.766,556,87.626
2022Q3,9.953,6.76,3.193,611,95.653
2022Q4,11.289,6.895,4.394,642,93.665
2023Q1,11.82,6.914,4.906,655,93.059
2023Q2,12.107,6.885,5.222,770,93.141
2023Q3,12.336,6.879,5.457,711,94.156
2023Q4,12.296,6.835,5.461,734,93.94
2024Q1,12.172,6.752,5.42,758,93.603
2024Q2,11.939,6.521,5.418,803,93.98
2024Q3,11.208,6.252,4.957,798,93.455
2024Q4,10.473,6.018,4.455,836,93.303
2025Q1,10.184,5.881,4.303,857,93.34
2025Q2,10.117,5.826,4.29,895,92.864
2025Q3,9.897,5.76,4.137,889,93.231
2025Q4,9.429,5.701,3.728,902,93.195
2026Q1,9.35,5.675,3.675,913,92.63
2026Q2,9.378,5.699,3.679,932,92.64
