quarter,first lien,first lien_fv_cov_pct,first lien_n_with_spread,second lien,second lien_fv_cov_pct,second lien_n_with_spread,subordinated,subordinated_fv_cov_pct,subordinated_n_with_spread,n_debt_with_spread,fl_sl_diff_bps
2018Q3,600.0,95.18,363,825.0,99.1,87,,55.79,3,453,225.0
2018Q4,575.0,95.55,388,825.0,99.32,95,,60.56,3,486,250.0
2019Q1,575.0,93.39,417,825.0,99.15,99,,63.43,3,519,250.0
2019Q2,575.0,90.52,367,800.0,96.99,91,,68.4,3,461,225.0
2019Q4,575.0,92.45,331,800.0,98.33,89,796.1,74.2,5,425,225.0
2020Q1,575.0,90.48,409,800.0,87.07,79,796.6,73.63,7,495,225.0
2020Q2,575.0,81.75,335,800.0,93.05,92,797.28,67.94,6,433,225.0
2020Q3,575.0,77.45,298,800.0,94.24,89,797.3,68.18,6,393,225.0
2020Q4,600.0,82.11,310,800.0,95.08,87,798.54,71.05,7,404,200.0
2021Q1,575.0,80.44,328,800.0,93.61,80,798.79,67.97,7,415,225.0
2021Q2,600.0,86.37,326,800.0,94.05,67,798.0,63.22,6,399,200.0
2021Q3,575.0,86.62,339,800.0,89.63,65,798.83,66.11,6,410,225.0
2021Q4,575.0,86.83,386,775.0,94.05,63,801.83,62.47,5,454,200.0
2022Q2,575.0,87.63,481,750.0,98.24,65,794.34,71.07,10,556,175.0
2022Q3,600.0,98.78,536,750.0,97.05,63,792.89,82.33,12,611,150.0
2022Q4,600.0,96.03,568,738.01,96.78,62,793.25,81.5,12,642,138.01
2023Q1,600.0,95.67,584,750.0,95.73,61,785.21,80.88,10,655,150.0
2023Q2,625.0,95.45,694,750.0,93.87,63,800.0,83.94,13,770,125.0
2023Q3,625.0,95.94,636,750.0,94.79,61,800.0,85.95,14,711,125.0
2023Q4,600.0,95.88,663,750.0,95.33,56,800.0,83.83,15,734,150.0
2024Q1,600.0,95.97,699,750.0,93.7,43,800.0,83.44,16,758,150.0
2024Q2,575.0,96.91,744,775.0,93.94,42,800.0,80.34,17,803,200.0
2024Q3,550.0,96.46,742,750.0,93.14,39,800.0,77.96,17,798,200.0
2024Q4,525.0,96.21,786,764.52,89.95,29,787.93,78.36,21,836,239.52
2025Q1,525.0,96.58,816,753.7,85.19,18,800.0,77.76,23,857,228.7
2025Q2,525.0,96.32,853,753.19,78.6,16,800.0,79.17,26,895,228.19
2025Q3,525.0,96.53,846,735.2,80.42,18,800.0,78.57,25,889,210.2
2025Q4,500.0,96.05,858,699.75,81.18,19,725.0,82.77,25,902,199.75
2026Q1,500.0,95.91,867,675.0,76.8,19,706.49,82.94,27,913,175.0
2026Q2,525.0,95.81,883,675.0,84.28,18,676.33,81.37,31,932,150.0
