Industry (normalized),Non-accrual cost ($mm),Non-accrual FV ($mm),NA FV / NA cost (x),Industry cost ($mm),NA rate (% of industry cost),NA rows
Healthcare Services,2695.0,1541.4,0.571948051948052,62017.4,4.345554634667045,133
Healthcare Equipment and Services,1211.1,789.8,0.6521344232515894,24541.5,4.934906179328892,46
Consumer Durables and Apparel,1045.8,564.2,0.5394912985274432,21669.8,4.826071306611044,20
Energy,909.0,481.9,0.5301430143014302,10046.7,9.047747021410014,22
Commercial and Professional Services,783.3,404.2,0.5160219583812077,54306.4,1.4423714332012434,40
Power Generation,684.0,456.8,0.6678362573099416,19013.4,3.5974628419956454,18
Consumer Services,603.7,142.5,0.23604439291038595,28887.7,2.0898167732287445,46
Food and Beverage,600.3,427.4,0.7119773446610028,12477.5,4.811059907834101,54
Automobiles and Components,367.8,216.2,0.5878194671016856,14841.8,2.478136075139134,24
"Sports, Media and Entertainment",352.0,163.8,0.4653409090909091,7015.9,5.017175273307772,9
Media and Entertainment,332.3,173.5,0.5221185675594342,8513.6,3.9031666979891,10
Materials,311.6,132.0,0.42362002567394097,9967.8,3.1260659323020126,10
