quarter,total_debt_usd_bn,net_assets_usd_bn,debt_net_assets_x,debt_total_assets_pct,nav_per_share_derived_usd,status
2018Q3,4.546,7.313,0.622,37.1,17.17,reported
2018Q4,5.214,7.3,0.714,40.4,17.14,reported
2019Q1,6.197,7.339,0.844,44.4,17.23,reported
2019Q2,6.024,7.368,0.818,43.5,17.26,reported
2019Q3,,,,,,no filing parsed
2019Q4,6.971,7.467,0.934,46.8,17.32,reported
2020Q1,8.179,6.583,1.242,51.7,15.56,reported
2020Q2,7.398,6.691,1.106,51.0,15.82,reported
2020Q3,7.55,6.963,1.084,50.5,16.46,reported
2020Q4,8.491,7.176,1.183,52.4,16.96,reported
2021Q1,8.005,7.632,1.049,50.0,17.46,reported
2021Q2,9.233,8.078,1.143,51.2,18.15,reported
2021Q3,9.895,8.537,1.159,51.7,18.52,reported
2021Q4,11.02,8.868,1.243,52.9,18.95,reported
2022Q1,,,,,,no filing parsed
2022Q2,11.728,9.335,1.256,53.8,18.82,reported
2022Q3,11.816,9.436,1.252,53.6,18.57,reported
2022Q4,12.21,9.555,1.278,54.5,18.41,reported
2023Q1,11.164,10.049,1.111,51.2,18.44,reported
2023Q2,11.371,10.354,1.098,51.1,18.59,reported
2023Q3,11.517,10.815,1.065,50.2,19.01,reported
2023Q4,11.884,11.201,1.061,49.9,19.25,reported
2024Q1,11.695,11.872,0.985,48.2,19.53,reported
2024Q2,12.96,12.364,1.048,49.7,19.63,reported
2024Q3,13.5,12.773,1.057,49.8,19.77,reported
2024Q4,13.727,13.355,1.028,48.6,19.87,reported
2025Q1,13.922,13.672,1.018,49.2,19.81,reported
2025Q2,14.109,14.034,1.005,48.5,19.88,reported
2025Q3,15.605,14.322,1.09,50.7,20.0,reported
2025Q4,15.991,14.318,1.117,51.2,19.94,reported
2026Q1,15.848,14.065,1.127,51.7,19.59,reported
2026Q2,15.773,13.891,1.135,51.7,19.35,reported
