quarter,total_assets,total_liabilities,net_assets,implied_net_assets,discrepancy_usd,discrepancy_bps_of_net_assets
2018Q3,12255000000.0,4942000000.0,7313000000.0,7313000000.0,0.0,0.0
2018Q4,12895000000.0,5595000000.0,7300000000.0,7300000000.0,0.0,0.0
2019Q1,13962000000.0,6623000000.0,7339000000.0,7339000000.0,0.0,0.0
2019Q2,13846000000.0,6478000000.0,7368000000.0,7368000000.0,0.0,0.0
2019Q4,14905000000.0,7438000000.0,7467000000.0,7467000000.0,0.0,0.0
2020Q1,15806000000.0,9223000000.0,6583000000.0,6583000000.0,0.0,0.0
2020Q2,14517000000.0,7826000000.0,6691000000.0,6691000000.0,0.0,0.0
2020Q3,14950000000.0,7987000000.0,6963000000.0,6963000000.0,0.0,0.0
2020Q4,16196000000.0,9020000000.0,7176000000.0,7176000000.0,0.0,0.0
2021Q1,16021000000.0,8389000000.0,7632000000.0,7632000000.0,0.0,0.0
2021Q2,18026000000.0,9948000000.0,8078000000.0,8078000000.0,0.0,0.0
2021Q3,19154000000.0,10617000000.0,8537000000.0,8537000000.0,0.0,0.0
2021Q4,20843000000.0,11975000000.0,8868000000.0,8868000000.0,0.0,0.0
2022Q2,21797000000.0,12462000000.0,9335000000.0,9335000000.0,0.0,0.0
2022Q3,22038000000.0,12602000000.0,9436000000.0,9436000000.0,0.0,0.0
2022Q4,22398000000.0,12843000000.0,9555000000.0,9555000000.0,0.0,0.0
2023Q1,21812000000.0,11763000000.0,10049000000.0,10049000000.0,0.0,0.0
2023Q2,22231000000.0,11877000000.0,10354000000.0,10354000000.0,0.0,0.0
2023Q3,22920000000.0,12105000000.0,10815000000.0,10815000000.0,0.0,0.0
2023Q4,23800000000.0,12599000000.0,11201000000.0,11201000000.0,0.0,0.0
2024Q1,24256000000.0,12384000000.0,11872000000.0,11872000000.0,0.0,0.0
2024Q2,26092000000.0,13728000000.0,12364000000.0,12364000000.0,0.0,0.0
2024Q3,27100000000.0,14327000000.0,12773000000.0,12773000000.0,0.0,0.0
2024Q4,28254000000.0,14899000000.0,13355000000.0,13355000000.0,0.0,0.0
2025Q1,28317000000.0,14645000000.0,13672000000.0,13672000000.0,0.0,0.0
2025Q2,29071000000.0,15037000000.0,14034000000.0,14034000000.0,0.0,0.0
2025Q3,30806000000.0,16484000000.0,14322000000.0,14322000000.0,0.0,0.0
2025Q4,31235000000.0,16917000000.0,14318000000.0,14318000000.0,0.0,0.0
2026Q1,30679000000.0,16614000000.0,14065000000.0,14065000000.0,0.0,0.0
2026Q2,30498000000.0,16607000000.0,13891000000.0,13891000000.0,0.0,0.0
