quarter,fv_share_usable_spread_pct,fv_share_usable_all_in_rate_pct,fv_share_both_usable_pct,equal_weight_share_both_usable_pct
2018Q3,80.57,88.86,80.57,59.09
2018Q4,82.94,89.66,82.94,61.74
2019Q1,81.93,90.53,81.93,61.97
2019Q2,80.16,90.16,80.16,56.64
2019Q4,82.17,89.52,82.17,57.72
2020Q1,79.24,90.15,79.24,60.93
2020Q2,75.39,88.54,75.39,57.05
2020Q3,73.26,87.5,73.26,52.72
2020Q4,75.06,88.54,75.06,51.7
2021Q1,72.42,87.93,72.42,53.1
2021Q2,71.97,87.1,71.97,51.4
2021Q3,70.99,88.63,70.99,52.34
2021Q4,69.53,86.14,69.53,54.0
2022Q2,67.71,83.85,67.71,57.66
2022Q3,72.6,82.66,72.6,62.26
2022Q4,71.0,81.69,71.0,63.47
2023Q1,69.07,80.28,69.07,64.15
2023Q2,68.36,79.91,68.36,66.75
2023Q3,68.17,80.42,68.17,64.01
2023Q4,68.28,80.67,68.28,63.87
2024Q1,67.62,80.26,67.62,64.44
2024Q2,69.31,82.21,69.31,65.43
2024Q3,69.15,82.65,69.15,64.29
2024Q4,68.83,81.32,68.83,64.57
2025Q1,68.95,81.32,68.95,65.13
2025Q2,69.05,82.14,69.05,66.32
2025Q3,71.29,83.44,71.29,64.43
2025Q4,71.52,83.45,71.52,64.2
2026Q1,71.25,83.4,71.25,64.48
2026Q2,71.29,83.02,71.29,64.91
