column,non_null_rows,null_rows,null_share_pct
pct_of_net_assets,0,31067,100.0
shares_units,5761,25306,81.46
spread_bps,19137,11930,38.4
all_in_rate_pct,21776,9291,29.91
reference_rate,21776,9291,29.91
principal_amount,21896,9171,29.52
maturity_date,22195,8872,28.56
source_scale,31067,0,0.0
is_non_accrual,31067,0,0.0
fair_value,31067,0,0.0
cost,31067,0,0.0
cik,31067,0,0.0
bdc_name,31067,0,0.0
investment_type_raw,31067,0,0.0
investment_type,31067,0,0.0
industry,31067,0,0.0
borrower,31067,0,0.0
position_id,31067,0,0.0
accession,31067,0,0.0
period_end,31067,0,0.0
source_url,31067,0,0.0
