column,null_share_of_positions_pct,null_share_of_fair_value_pct,null_share_within_equity_and_preferred_pct,null_share_within_debt_like_pct
reference_rate,29.90633147713007,15.943449209237116,84.06820950060902,6.5095244621077155
spread_bps,38.40087552708662,28.33873745375567,98.4531059683313,13.165227719153991
all_in_rate_pct,29.90633147713007,15.943449209237116,84.06820950060902,6.5095244621077155
maturity_date,28.557633501786462,22.15583478870443,98.51400730816079,1.484628386094742
principal_amount,29.520069527150994,22.754375230461896,100.0,0.03654469873463981
shares_units,81.45620755142112,82.69179494868044,35.956151035322776,99.96345530126536
pct_of_net_assets,100.0,100.0,100.0,100.0
cost,0.0,0.0,0.0,0.0
fair_value,0.0,0.0,0.0,0.0
borrower,0.0,0.0,0.0,0.0
industry,0.0,0.0,0.0,0.0
investment_type,0.0,0.0,0.0,0.0
