quarter,wa_years_to_maturity,pct_fv_maturing_le_1y,pct_fv_maturing_le_3y,pct_fv_maturing_le_5y,n_positions,fv_coverage_pct_of_debt_book
2018Q3,5.229,2.492,22.853,62.54,507,99.803
2018Q4,5.347,2.518,22.879,56.004,530,99.809
2019Q1,5.42,3.667,22.74,56.609,571,99.845
2019Q2,5.577,4.323,20.576,54.652,542,99.911
2019Q4,5.359,2.582,19.866,56.269,479,99.917
2020Q1,5.091,2.656,21.722,57.191,575,99.95
2020Q2,4.98,3.323,29.094,59.359,517,99.947
2020Q3,4.859,5.213,31.676,59.599,500,99.94
2020Q4,5.191,4.119,25.648,58.084,511,99.971
2021Q1,5.057,3.827,25.48,65.007,524,99.974
2021Q2,5.086,3.178,23.799,58.697,486,99.956
2021Q3,5.142,3.3,22.797,54.765,503,99.997
2021Q4,5.396,2.889,20.147,49.953,542,99.979
2022Q2,5.294,2.435,16.977,50.466,644,99.981
2022Q3,4.969,8.498,22.276,55.357,671,99.584
2022Q4,5.198,3.895,23.238,50.547,700,99.491
2023Q1,5.108,2.712,23.397,50.955,712,99.788
2023Q2,4.951,3.588,22.869,54.263,836,99.769
2023Q3,4.841,4.475,26.138,53.14,773,99.981
2023Q4,4.777,4.725,27.576,59.92,804,99.999
2024Q1,4.793,3.496,24.561,57.254,827,99.999
2024Q2,4.896,1.761,21.084,57.455,870,100.0
2024Q3,4.909,3.374,20.465,54.766,877,100.0
2024Q4,4.964,4.681,19.726,56.405,922,100.0
2025Q1,4.908,3.829,19.703,52.116,938,99.777
2025Q2,4.835,2.402,18.239,53.195,970,99.873
2025Q3,4.835,2.422,17.006,51.337,990,99.89
2025Q4,4.891,2.642,18.68,52.956,1005,100.0
2026Q1,4.794,1.442,17.722,54.791,1023,100.0
2026Q2,4.683,2.186,20.267,56.758,1039,99.953
