Industry (normalized),FV 2026Q2 ($mm),Share 2026Q2 (%),Share 2019Q4 (%),Change (pp)
Software and Services,6451.2,21.980762743915527,12.890792884969985,9.089969858945542
Financial Services,3935.8,13.4102005840003,5.348750155970553,8.061450428029747
"Sports, Media and Entertainment",1121.0,3.8195118793293195,0.6301210331489415,3.1893908461803777
Consumer Distribution and Retail,1377.6,4.693808710940295,1.8661010134619918,2.827707697478303
Insurance,1570.5,5.35106459097832,3.2407214851169432,2.1103431058613764
"Pharmaceuticals, Biotechnology and Life Sciences",835.2,2.8457237480962068,1.1139763479321771,1.7317474001640296
Commercial and Professional Services,2811.9,9.580807719434535,8.496582511888422,1.0842252075461136
Capital Goods,1437.5,4.897902164617214,4.175851599218068,0.7220505653991465
Materials,672.9,2.2927292984841205,1.7877691358538175,0.5049601626303031
Consumer Services,1972.1,6.719410684411553,6.615231044378821,0.10417964003273195
Investment Funds and Vehicles,1180.5,4.022242438490867,7.008970039789821,-2.986727601298954
Healthcare Equipment and Services,2895.2,9.8646305022607,20.28934270543055,-10.424712203169848
