quarter,fair_value_usd_bn,cost_usd_bn,fv_over_cost_pct,non_accrual_pct_of_cost,non_accrual_pct_of_fv,non_accrual_positions_n,status
2018Q3,11.22,11.473,97.79,2.72,0.62,26.0,reported
2018Q4,12.417,12.754,97.36,2.0,0.44,22.0,reported
2019Q1,13.064,13.44,97.2,2.33,0.39,27.0,reported
2019Q2,12.992,13.391,97.02,2.52,0.38,30.0,reported
2019Q3,,,,,,,no filing parsed
2019Q4,14.426,14.696,98.16,1.85,0.92,18.0,reported
2020Q1,14.37,15.49,92.77,2.93,1.6,22.0,reported
2020Q2,13.842,14.862,93.14,4.42,2.58,28.0,reported
2020Q3,14.358,15.09,95.15,5.06,3.18,26.0,reported
2020Q4,15.515,15.914,97.49,3.32,1.98,19.0,reported
2021Q1,15.429,15.628,98.72,3.32,2.18,21.0,reported
2021Q2,17.136,17.096,100.23,2.94,1.87,20.0,reported
2021Q3,17.677,17.627,100.28,1.69,0.97,12.0,reported
2021Q4,20.01,19.81,101.01,0.79,0.46,11.0,reported
2022Q1,,,,,,,no filing parsed
2022Q2,21.17,21.112,100.28,1.55,0.85,15.0,reported
2022Q3,21.338,21.468,99.39,1.57,0.91,13.0,reported
2022Q4,21.78,22.043,98.81,,,0.0,reported; non-accrual flag not parsed
2023Q1,21.148,21.43,98.69,2.32,1.31,15.0,reported
2023Q2,21.496,21.686,99.13,2.05,1.11,20.0,reported
2023Q3,21.928,21.864,100.3,1.22,0.62,14.0,reported
2023Q4,22.874,22.668,100.91,,,0.0,reported; non-accrual flag not parsed
2024Q1,23.124,22.804,101.4,1.74,0.72,22.0,reported
2024Q2,24.973,24.707,101.08,1.46,0.71,21.0,reported
2024Q3,25.918,25.572,101.35,1.25,0.63,23.0,reported
2024Q4,26.72,26.374,101.31,,,0.0,reported; non-accrual flag not parsed
2025Q1,27.13,26.778,101.32,1.54,0.9,18.0,reported
2025Q2,27.886,27.581,101.11,1.98,1.17,21.0,reported
2025Q3,28.693,28.566,100.44,1.78,1.01,21.0,reported
2025Q4,29.485,29.25,100.8,1.79,1.19,19.0,reported
2026Q1,29.499,29.648,99.5,2.07,1.17,26.0,reported
2026Q2,29.349,29.675,98.9,2.38,1.38,32.0,reported
