cik,ticker,bdc_name,form,accession,period_of_report,filed_date,period_end,level,label,for_company,covers_line_ids,industry,dimensions,amortized_cost_usd,fair_value_usd,pct_of_net_assets,source_table
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,ACP Avenu Midco LLC (13),ACP Avenu Midco LLC (13),"1,2,3",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:ACPAvenuMidcoLLCMember""}",17400000.0,17600000.0,,9
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP (13)","Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP (13)","5,6,7",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:ActivateHoldingsUSCorp.AndCrossPointCapitalASSPVLPMember""}",59000000.0,61900000.0,,9
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,Adonis Bidco Inc. (13),Adonis Bidco Inc. (13),"8,9",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:AdonisBidcoInc.Member""}",268600000.0,255200000.0,,9
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Apple Bidco Holdings, Inc. (13)","Apple Bidco Holdings, Inc. (13)","13,14",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:AppleBidcoHoldingsInc.Member""}",55900000.0,54200000.0,,9
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Aptean, Inc. and Aptean Acquiror Inc. (13)","Aptean, Inc. and Aptean Acquiror Inc. (13)","16,17",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:ApteanInc.AndApteanAcquirorIncMember""}",19900000.0,19800000.0,,9
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Banyan Software Holdings, LLC and Banyan Software Intermediate, Inc. (13)(14)","Banyan Software Holdings, LLC and Banyan Software Intermediate, Inc. (13)(14)","23,24,25,26,27",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:BanyanSoftwareHoldingsLLCAndBanyanSoftwareIntermediateInc.Member""}",272700000.0,272700000.0,,10
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"BCTO Ignition Purchaser, Inc.","BCTO Ignition Purchaser, Inc.","28,29",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:BCTOIgnitionPurchaserInc.Member""}",7400000.0,7400000.0,,10
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Bobcat Purchaser, LLC and Bobcat Topco, L.P. (13)","Bobcat Purchaser, LLC and Bobcat Topco, L.P. (13)","30,31",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:BobcatPurchaserLLCAndBobcatTopcoLPMember""}",17100000.0,16700000.0,,10
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,Borrower R365 Holdings LLC (13),Borrower R365 Holdings LLC (13),"32,33",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:BorrowerR365HoldingsLLCMember""}",17800000.0,17800000.0,,10
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (13)","Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (13)","36,37,38,39,40",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:CardinalParentIncAndPackersSoftwareIntermediateHoldingsIncMember""}",169400000.0,147900000.0,,10
