bdc_name,ticker,cik,period_end,filing_date,form_type,accession,source_scale,source_url,total_investments_fv,total_assets,total_liabilities,net_assets,nav_per_share,shares_outstanding,total_debt_outstanding,period_end_prior,period_end_prior_kind,total_investments_fv_prior,total_assets_prior,total_liabilities_prior,net_assets_prior,nav_per_share_prior,shares_outstanding_prior,total_debt_outstanding_prior
ARES CAPITAL CORP,ARCC,1287750,2005-03-31,2005-05-04,10-Q,0001104659-05-020153,units,https://www.sec.gov/Archives/edgar/data/1287750/000110465905020153/a05-8449_110q.htm,235331295.0,360470600.0,14150500.0,346320100.0,,23143414.0,,2004-12-31,prior_fiscal_year_end,182560147.0,220455614.0,60747309.0,159708305.0,,11066767.0,
ARES CAPITAL CORP,ARCC,1287750,2005-06-30,2005-08-08,10-Q,0001104659-05-037290,units,https://www.sec.gov/Archives/edgar/data/1287750/000110465905037290/a05-13000_110q.htm,302298206.0,360833715.0,13900775.0,346932940.0,,23168595.0,,2004-12-31,prior_fiscal_year_end,182560147.0,220455614.0,60747309.0,159708305.0,,11066767.0,
ARES CAPITAL CORP,ARCC,1287750,2005-09-30,2005-11-14,10-Q,0001104659-05-055036,units,https://www.sec.gov/Archives/edgar/data/1287750/000110465905055036/a05-18287_110q.htm,424413495.0,444927588.0,91818095.0,353109493.0,,23409484.0,,2004-12-31,prior_fiscal_year_end,182560147.0,220455614.0,60747309.0,159708305.0,,11066767.0,
ARES CAPITAL CORP,ARCC,1287750,2006-03-31,2006-05-08,10-Q,0001104659-06-031759,units,https://www.sec.gov/Archives/edgar/data/1287750/000110465906031759/a06-9554_110q.htm,747145149.0,778620556.0,207245218.0,571375338.0,,38007148.0,,2005-12-31,prior_fiscal_year_end,585968375.0,613645144.0,44032945.0,569612199.0,,37909484.0,
ARES CAPITAL CORP,ARCC,1287750,2008-03-31,2008-05-08,10-Q,0001104659-08-030933,thousands,https://www.sec.gov/Archives/edgar/data/1287750/000110465908030933/a08-11374_110q.htm,1934302000.0,1996362000.0,890251000.0,1106111000.0,,72924790000.0,865643000.0,2007-12-31,prior_fiscal_year_end,1774202000.0,1829405000.0,704854000.0,1124551000.0,,72684090000.0,681528000.0
ARES CAPITAL CORP,ARCC,1287750,2008-06-30,2008-08-07,10-Q,0001104659-08-050548,thousands,https://www.sec.gov/Archives/edgar/data/1287750/000110465908050548/a08-18753_110q.htm,2090452000.0,2201056000.0,872508000.0,1328548000.0,,97152820000.0,847734000.0,2007-12-31,prior_fiscal_year_end,1774202000.0,1829405000.0,704854000.0,1124551000.0,,72684090000.0,681528000.0
ARES CAPITAL CORP,ARCC,1287750,2009-03-31,2009-05-07,10-Q,0001104659-09-030209,thousands,https://www.sec.gov/Archives/edgar/data/1287750/000110465909030209/a09-11142_110q.htm,1969104000.0,2044929000.0,956858000.0,1088071000.0,,97152820000.0,902619000.0,2008-12-31,prior_fiscal_year_end,1972977000.0,2091333000.0,996454000.0,1094879000.0,,97152820000.0,908786000.0
ARES CAPITAL CORP,ARCC,1287750,2009-06-30,2009-08-06,10-Q,0001104659-09-047554,thousands,https://www.sec.gov/Archives/edgar/data/1287750/000110465909047554/a09-18546_110q.htm,1962471000.0,2047055000.0,958333000.0,1088722000.0,,97152820000.0,879255000.0,2008-12-31,prior_fiscal_year_end,1972977000.0,2091333000.0,996454000.0,1094879000.0,,97152820000.0,908786000.0
ARES CAPITAL CORP,ARCC,1287750,2009-09-30,2009-11-05,10-Q,0001104659-09-062699,thousands,https://www.sec.gov/Archives/edgar/data/1287750/000110465909062699/a09-30906_110q.htm,1967724000.0,2065081000.0,842490000.0,1222591000.0,,109592728000.0,767871000.0,2008-12-31,prior_fiscal_year_end,1972977000.0,2091333000.0,996454000.0,1094879000.0,,97152820000.0,908786000.0
ARES CAPITAL CORP,ARCC,1287750,2010-06-30,2010-08-05,10-Q,0001104659-10-042122,thousands,https://www.sec.gov/Archives/edgar/data/1287750/000110465910042122/a10-12712_110q.htm,3794020000.0,4073702000.0,1362429000.0,2711273000.0,,192167337000.0,1244938000.0,2009-12-31,prior_fiscal_year_end,2171814000.0,2313515000.0,1055627000.0,1257888000.0,,109944674000.0,969465000.0
ARES CAPITAL CORP,ARCC,1287750,2011-03-31,2011-05-03,10-Q,0001104659-11-025059,thousands,https://www.sec.gov/Archives/edgar/data/1287750/000110465911025059/a11-9333_110q.htm,4263033000.0,4707043000.0,1544035000.0,3163008000.0,,204752000.0,1428044000.0,2010-12-31,prior_fiscal_year_end,4317990000.0,4562546000.0,1512013000.0,3050533000.0,,204419000.0,1378509000.0
ARES CAPITAL CORP,ARCC,1287750,2011-06-30,2011-08-04,10-Q,0001104659-11-043387,thousands,https://www.sec.gov/Archives/edgar/data/1287750/000110465911043387/a11-13959_110q.htm,4643163000.0,4911531000.0,1777250000.0,3134281000.0,,205130000.0,1620142000.0,2010-12-31,prior_fiscal_year_end,4317990000.0,4562546000.0,1512013000.0,3050533000.0,,204419000.0,1378509000.0
ARES CAPITAL CORP,ARCC,1287750,2011-09-30,2011-11-08,10-Q,0001104659-11-061830,thousands,https://www.sec.gov/Archives/edgar/data/1287750/000110465911061830/a11-25736_110q.htm,4755153000.0,5045506000.0,1942228000.0,3103278000.0,,205130000.0,1800212000.0,2010-12-31,prior_fiscal_year_end,4317990000.0,4562546000.0,1512013000.0,3050533000.0,,204419000.0,1378509000.0
ARES CAPITAL CORP,ARCC,1287750,2012-03-31,2012-05-08,10-Q,0001104659-12-034123,thousands,https://www.sec.gov/Archives/edgar/data/1287750/000110465912034123/a12-8690_110q.htm,5204531000.0,5609138000.0,2175877000.0,3433261000.0,,221875000.0,2018866000.0,2011-12-31,prior_fiscal_year_end,5094506000.0,5387437000.0,2240172000.0,3147265000.0,,205130000.0,2073602000.0
ARES CAPITAL CORP,ARCC,1287750,2012-09-30,2012-11-05,10-Q,0001104659-12-073940,thousands,https://www.sec.gov/Archives/edgar/data/1287750/000110465912073940/a12-20006_110q.htm,5936165000.0,6301187000.0,2392461000.0,3908726000.0,,248315000.0,2212650000.0,2011-12-31,prior_fiscal_year_end,5094506000.0,5387437000.0,2240172000.0,3147265000.0,,205130000.0,2073602000.0
ARES CAPITAL CORP,ARCC,1287750,2014-09-30,2014-11-04,10-Q,0001104659-14-076197,thousands,https://www.sec.gov/Archives/edgar/data/1287750/000110465914076197/a14-19803_110q.htm,8783580000.0,9203059000.0,3953411000.0,5249648000.0,,314108000.0,3679201000.0,2013-12-31,prior_fiscal_year_end,7632897000.0,8141504000.0,3237060000.0,4904444000.0,,297971000.0,2986275000.0
